"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67"
"21" 0 -8.45908020415775e-21 -0.00232809201109974 0 0 0.0239440529274161 -0.00936460124538985 0 0 0 0 0 -0.0784976142970546 0 0 0 1.19983446667854e-21 -0.0108059607329444 0 0 1 0 0 0 -0.0304129835815277 0.50771856214972 0.436395011164032 0 0 0 0.0803899171800873 0.0790471753495118 0 0 0 0 -0.000120001087094152 0 0.0141763866769402 0.00556024860744069 0 0 0 0.00752767614458436 0 0 0.0279242636948216 0 -0.0319020026111508 0 0 -0.00297281254470827 0 -0.00160234030363961 0.0166450012361779 0 0 0 0 0 0 0 0 0 0.451626696292783 0 0
"22" 0 0 -4.58959961259273e-21 0 0 3.22646005842114e-21 0 0 0 0 0 0 6.08829847524205e-21 -5.80329418374217e-21 0 0 0 5.65649791090305e-21 -7.32314468529866e-22 0 0 1 0 0 6.11188437299811e-21 0 0 0 0 0 -1.51460007002561e-20 1.08464300811909e-20 0 -8.79868899560248e-21 0 0 0 -1.11539874652037e-21 0 3.89848023158821e-21 0 0 0 0 0 0 6.24405739083037e-22 0 0 0 0 0 0 -2.00093900652767e-21 1.2457860117755e-20 0 0 0 4.32503408622801e-21 0 0 0 0 0 0 0 0
"23" -5.92418979389228e-22 0 0 0 0 0 0 0 0 0 0 0 0.00314727305722542 0 0 0 0 0.620347380629942 0 0 0 0 1 0 -0.51090165139469 0 0.519825497274514 0 0 0 0.474813909237658 0.0336527658151573 -0.0187593412864392 0 0 0 0 0 0 0 0.0102773436703786 0 0 0.0145756248148609 0 0 0 0 0 0 0 -0.022956655178194 0 0 0.0124219921391472 0.079710641763462 0.0286544877936538 0 0 0 0 3.24359865221208e-21 0 0 0 0 0
"24" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"25" 0 1.07223834884179e-20 0.0204658597767995 4.46711384872946e-21 0 -0.0242232853431442 0 0 0 0 0 0 -0.0831180240567796 -0.0299748355796094 0 0 0 -0.510325986039054 -0.014586686846757 -0.0464280844256569 -0.0304129835815277 6.11188437299811e-21 -0.51090165139469 0 1 -0.45200856647383 -0.625987802169605 0 0 0.00910473520432836 -0.5948039692287 -0.373889203327623 -0.00772939675260247 0.0228261581847988 -0.0139837307146037 0 0.055011071621074 0.0283197966544918 0.0627418034688556 -0.0149595514289225 0.00853932527369836 0 0 0.0231095425345786 0 0 -0.0263237744648106 0 -0.0898148424012584 -0.0112335965250112 -0.380378920896055 0.000352717563325162 0 -0.0499955905770224 -0.0465403588774595 -0.30911557503838 0 0 0 0 0 0 0 -0.0425221464893935 0 0 0
"26" -4.52120616864321e-22 1.17103528619662e-20 0 0 0 0.0302827588969526 0 0 0 0 0.0253084807925632 0 0 0 2.96724657801108e-21 0 -2.41667669854778e-21 0.0482430933922335 0.0104270758905955 0.427463462752714 0.50771856214972 0 0 0 -0.45200856647383 1 0.595080560997454 0 0.357939653029954 0 0.441810192655092 0.43957900487212 0 -0.0278155818475907 0 -0.0386337961538733 0.0557277443508574 0 0 0.0223102145589635 0 -0.0400423431134287 0.0288701578212721 0.0238863607412468 0 0 0.126329147114036 0.0166413402918961 0.00948661212054091 0 0.26921741340677 0 0 0.0153674549035497 -0.032859381528659 0 0.0462163458167857 0 0 0.0222719176014096 0.00334324452161705 0 0 -0.00913238783801763 0.403305951677432 0 0
"27" 0 3.40311020470387e-21 -0.0233729261662466 -5.07986608393769e-21 0 -0.00218637458810912 0 0 0 0 0 0 0.0664332041232153 0 0 0 0 0.508190331175754 -0.0161942883102035 0.396712935266852 0.436395011164032 0 0.519825497274514 0 -0.625987802169605 0.595080560997454 1 0 0 0 0.627968441194775 0.40348313214648 0.0443499581449412 -0.007321727535309 0 0 0.0472305444787379 0 0 0.00545800803484693 0 -0.0374610104927963 0 -0.0400831973144426 0.0602521147473053 0 0.272492124711343 -0.0126822103922708 0.0930044072930674 0 0.317195399644449 0.0468100102538176 0 0.126380286777454 -0.00780010658112022 0.258946753623819 0 0 0 -0.00193335583910858 0.0986647996176612 0 0 0.095165449906362 0.480044011180912 0 0
"28" 0 0 0 0 0 0 8.38829395810078e-22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"29" -4.8093975172753e-22 0 0 0 2.80866926406263e-21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.357939653029954 0 0 1 0 0 0 0 0 0 0.0641696324943827 0 0 0 0 0 -0.0582378311722082 0.348449151013065 0 0 0 0 0 0 0 0 0 0 0 0 0 0.391185052414917 0 0 0.073314273188843 0.0249750721484452 0 0 0 0 0 0
"30" 0 0 0.00345053415249047 0 0 -0.0376317685092932 0 0 0 0 0 0 0.047873040721692 0 0 0 0 -0.0112181430131968 -0.02166941674448 -0.00515642216996732 0 0 0 0 0.00910473520432836 0 0 0 0 1 0.0335013508121629 0.017161708501139 0 -0.0201026868920123 -0.0308652669255645 0 0.000361563555342355 0.0628937675104391 0.0198627064044147 -0.000526534791297939 0.0408019299450033 0 0 -0.00633864642279776 0 0 0.310055513855515 0 0.0132416762522373 0 0 -0.00949930052077516 0 0.0123402097177372 -0.0126620167915633 0 0 0 0 0 0 0 0 0 0 0 0
"31" 0 -1.57168548682131e-20 0.0199388075209913 0 0 0.00135459851816671 -0.000378322538132438 0 0 0 0 0 0.442268938427151 -0.00981057759399383 0 0 0 0.509314670719488 -0.0188815967591454 0.0472112777148125 0.0803899171800873 -1.51460007002561e-20 0.474813909237658 0 -0.5948039692287 0.441810192655092 0.627968441194775 0 0 0.0335013508121629 1 0.594986947057377 0.0241408226282075 -0.000705200454736729 -0.0051190653324433 0 0.106436729604466 0.0480327254358853 0.0199294601255853 -0.0459187976629314 -0.00565470822047143 0 0 0.00424010841888538 0.05830397888472 0 0.353119814111542 0 -0.0309808580322277 0 0.00829621529777955 0.00768635516938872 0 0.0268927860960591 -0.0432081027998531 0 0 0 0 0 0 0 0 -0.0114684126961865 0.420182775856975 0 0
"32" 0 1.37891586446392e-20 -0.00394857033730422 0 0 -0.0583938295995849 0 0 0 0 0 0 0.405069078403208 0.397269975371318 1.86416353496723e-21 0 0 0.0375752466515343 -0.00162227833473449 0.0502923816211946 0.0790471753495118 1.08464300811909e-20 0.0336527658151573 0 -0.373889203327623 0.43957900487212 0.40348313214648 0 0 0.017161708501139 0.594986947057377 1 0 -0.0117608042157122 -0.0208874805222552 0 0.417487562585706 0.00414192655333821 0.0684136792762263 0.124755252203141 -0.00921215156760732 0 0 -0.00207417698658915 -0.0184883144534414 0 0.450251864092733 0 0.343908017066108 0 0.331098595029827 0.00748482828716265 0 0.289798020774075 -0.016940773071868 0 0 0 0 0 0 0 0 0.0439543440887672 0.391001131470369 0 0
"33" 0 0 0 0 0 0.0242886127728306 0 -0.00690730694863497 0.0670590768975521 2.22957497418101e-21 0 0.0280825585540548 0.0600052081759912 -0.00798644130896089 0 0 0 -0.0105088502185589 0 0 0 0 -0.0187593412864392 0 -0.00772939675260247 0 0.0443499581449412 0 0 0 0.0241408226282075 0 1 0 0 0 0 0 0.0801662642612654 0 0.352198254935297 0.374191725539367 0 -0.0137321104452714 0 0 0.377213105506026 0 0.435038875385745 0 0 0.0250323623030824 0 0 0.10429478947149 0.30267685829465 0 0 0 0 0 0 0 0.458932759984519 0 0 0
